bg,am,co,cs,eu,na
63,64,121,129,327,68
64,69,157,144,331,90
44,45,132,150,331,87
53,66,150,133,298,99
64,52,130,140,324,71
64,54,122,132,316,97
58,61,144,120,293,86
72,66,142,134,314,76
44,55,121,160,300,95
53,67,144,140,284,88
54,49,114,143,284,81
61,56,125,159,279,83
61,60,148,129,298,107
55,56,139,152,247,88
49,56,143,149,270,87
52,52,150,160,264,94
64,42,131,137,238,93
47,57,169,147,240,83
53,61,108,150,245,112
38,58,104,141,234,69
43,56,128,160,263,78
56,39,118,139,238,88
56,43,137,130,245,84
54,52,134,171,230,86
46,57,123,151,224,81
60,52,135,166,219,81
34,47,132,163,228,88
43,52,125,185,244,98
50,58,124,162,235,81
38,49,122,172,222,72
42,43,138,151,217,94
53,61,132,166,226,94
40,42,141,143,223,67
32,40,138,154,223,81
59,47,111,146,213,82
38,42,126,181,193,86
50,54,129,134,228,79
54,46,121,156,209,91
42,43,127,168,223,71
36,42,119,167,223,53
36,49,125,156,204,72
36,34,129,153,232,75
46,33,152,157,219,79
33,39,133,157,212,88
52,54,130,154,216,78
39,39,131,170,220,77
38,40,116,145,207,70
38,48,112,140,217,68
39,53,125,145,206,74
48,32,128,122,203,67
35,40,118,157,204,65
46,39,146,146,197,74
37,33,140,150,201,76
33,30,130,138,214,77
41,46,123,161,235,70
44,46,141,151,230,75
39,35,141,136,232,76
41,43,134,137,233,68
27,38,123,130,215,61
35,43,150,135,205,69
31,33,132,139,241,72
25,34,150,143,211,58
37,38,132,125,237,59
43,30,156,148,230,68
36,35,159,121,248,63
29,27,161,144,228,66
32,31,140,110,241,63
35,41,151,133,230,68
31,34,148,133,222,60
35,39,128,123,246,77
31,42,164,126,244,60
46,37,135,127,279,65
27,28,132,124,250,73
30,31,132,94,229,63
37,50,149,121,260,59
29,43,159,118,290,61
34,28,138,150,292,65
26,37,133,110,272,62
31,42,129,112,277,65
43,31,138,121,320,60
26,38,138,108,294,51
27,39,141,113,351,50
39,34,121,92,310,39
24,26,132,119,301,49
31,30,135,113,286,61
23,37,130,111,320,52
28,33,135,128,318,42
36,29,145,108,344,55
