Нарастание,N,A,Убывание,N,A
R = 100 Om,1,2.2,,1,6.2
U_0 = 8,2,4.1,,2,4.1
,3,5.4,,3,2.7
,4,6.3,,4,1.8
,5,6.9,,5,1.2
,6,7.3,,6,0.8
,7,7.5,,7,0.5
,8,7.7,,8,0.4
,9,7.8,,9,0.3
,10,7.9,,10,0.2
