T_0,39.5,40.4,43.5,38.9,40.1,39.2,42.4,подкачали,19.8,18.7,18.5(трабл с ключом),18.2,18.1,подкачали,54.8,53.2,49.4,59.8,подкачали,10.2,10.4,9.8,подкачали,29.1,28.6,32,28.7,30,подкачали ,20.1,19.5,20.8,21.4,20,подкачали,25.5,25.6,24.2
T ,16.9,18.1,17.6,18.2,17.1,18.3,,,13,12.6,13.3,13.7,,,14.6,14.4,15.2,14.8,,23.1,22.8,23.1,,10.5,11.1,11,11.1,11.3,,16.5,17.4,16.5,16.6,16.9,,12,11.7,12
V,0.47,0.47,0.47,0.47,0.465,-,,,0.385,,,,,,,0.435,,,,0.925,,,,0.415,,,,,,0.485,,,,,,0.485,,
