x,y
-0.1001,-1.4233
-0.1782,-1.4722
-0.188,-1.5015
-0.2295,-1.5527
-0.2588,-1.6211
-0.2881,-1.6626
-0.3271,-1.7114
-0.3687,-1.7407
-0.3687,-1.8213
-0.3979,-1.8604
-0.3882,-1.9116
-0.4468,-1.9604
-0.4468,-2.0288
-0.4883,-2.0801
-0.5078,-2.1289
-0.5078,-2.1899
-0.5469,-2.229
-0.5469,-2.2778
-0.5371,-2.3193
-0.5859,-2.3682
-0.6055,-2.4072
-0.6274,-2.4585
-0.6177,-2.4878
-0.6567,-2.5488
-0.6665,-2.5781
-0.6763,-2.627
-0.686,-2.6782
-0.6958,-2.6978
-0.7349,-2.7563
-0.7349,-2.7954
-0.7568,-2.8271
-0.7666,-2.8564
-0.7959,-2.8857
-0.7764,-2.915
-0.7764,-2.9663
-0.7959,-2.9663
-0.8154,-3.0054
-0.8154,-3.0054
-0.8252,-3.0249
-0.8057,-3.0444
-0.8447,-3.0664
-0.835,-3.0444
-0.8154,-3.0444
-0.8447,-3.0151
-0.8252,-2.9663
-0.8447,-2.8857
-0.8057,-2.8271
-0.8057,-2.7563
-0.8252,-2.7075
-0.8057,-2.6367
-0.8057,-2.5684
-0.7959,-2.5073
-0.7764,-2.439
-0.7861,-2.3877
-0.7959,-2.2998
-0.7861,-2.2388
-0.7666,-2.1997
-0.7251,-2.0996
-0.7568,-2.0508
-0.7251,-1.9604
-0.7471,-1.8799
-0.7349,-1.8115
-0.7251,-1.7212
-0.7153,-1.6406
-0.7153,-1.5527
-0.7153,-1.4624
-0.7056,-1.3721
-0.6763,-1.2744
-0.6665,-1.1743
-0.6665,-1.0938
-0.6958,-0.9741
-0.647,-0.8862
-0.6567,-0.7861
-0.647,-0.686
-0.6372,-0.5957
-0.6177,-0.5078
-0.6055,-0.4272
-0.6177,-0.3589
-0.6055,-0.249
-0.6177,-0.1587
-0.6055,-0.0781
-0.5566,0.0098
-0.5469,0.1001
-0.5762,0.2002
-0.5273,0.2881
-0.5176,0.3784
-0.4883,0.4785
-0.4883,0.5591
-0.4883,0.647
-0.4272,0.7178
-0.4077,0.8179
-0.3882,0.8569
-0.3589,0.9351
-0.2783,1.0156
-0.2173,1.0645
-0.1294,1.1353
-0.0586,1.2061
0.0195,1.2549
0.0806,1.3037
0.1294,1.3647
0.1709,1.394
0.249,1.4429
0.2881,1.5039
0.3003,1.543
0.3589,1.582
0.3589,1.6333
0.3882,1.7017
0.4297,1.7334
0.4492,1.792
0.4785,1.8408
0.5176,1.9019
0.5273,1.9507
0.5469,2.0117
0.5688,2.0703
0.5884,2.1313
0.5884,2.1899
0.6079,2.2412
0.6372,2.2803
0.647,2.3096
0.6763,2.3804
0.6763,2.3999
0.7178,2.4683
0.7275,2.5098
0.7568,2.5488
0.7764,2.5977
0.7764,2.6392
0.7959,2.6978
0.8276,2.7368
0.8374,2.7783
0.8472,2.8076
0.8472,2.8369
0.8667,2.8662
0.8667,2.9077
0.8862,2.9272
0.896,2.9468
0.896,2.9761
0.9155,2.9858
0.9155,3.0371
0.9155,3.0273
0.9351,3.0371
0.9155,3.0566
0.9351,3.0371
0.9253,3.0273
0.9058,3.0078
0.9253,2.9175
0.8862,2.8564
0.9155,2.7979
0.9155,2.7368
0.8862,2.6685
0.9058,2.6074
0.8765,2.5684
0.8667,2.478
0.8569,2.4194
0.8569,2.3608
0.8862,2.2998
0.8374,2.251
0.8276,2.1704
0.8057,2.1021
0.8057,2.0215
0.8057,1.9507
0.7861,1.8726
0.7959,1.7822
0.7959,1.7017
0.7764,1.6333
0.7764,1.5332
0.7471,1.4429
0.7471,1.3452
0.7471,1.2451
0.7275,1.1646
0.7178,1.0547
0.7471,0.9473
0.7275,0.8569
0.7178,0.7666
0.708,0.6763
0.708,0.5786
0.708,0.498
0.6885,0.4077
0.6885,0.3296
0.6982,0.249
0.6567,0.1587
0.6665,0.061
0.6567,-0.0098
0.6372,-0.1099
0.6274,-0.2173
0.6079,-0.2881
0.5981,-0.3979
0.5884,-0.4663
0.5688,-0.5469
0.5591,-0.647
0.5371,-0.7153
0.5078,-0.8057
0.4688,-0.896
0.4175,-0.9741
0.3589,-1.0352
0.3101,-1.1353
0.2295,-1.145
0.1489,-1.2524
0.0708,-1.2744
-0.0098,-1.3232
-0.0488,-1.3818
-0.1099,-1.4233
-0.1489,-1.4722
-0.188,-1.5112
-0.2393,-1.5625
-0.2783,-1.6113
-0.2881,-1.6528
-0.3174,-1.7017
-0.3589,-1.7603
