  Measurement Number     Measurement type
                   5                DC IV

      Measurement ID             SeriesID
       738631.660788                    0

         MeasureMode                Bias1                Bias2
                   2                   -4                    4

                Step  Positive compliance  Negative compliance
                 0.2                  0.1                  0.1

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -1.9174e-06   -0.0000e+00
-2.0000e-01   -1.1262e-02   1.7759e+01
-4.0000e-01   -2.2520e-02   1.7762e+01
-6.0000e-01   -3.3876e-02   1.7712e+01
-8.0000e-01   -4.5262e-02   1.7675e+01
-1.0000e+00   -5.6524e-02   1.7692e+01
-1.2000e+00   -6.7582e-02   1.7756e+01
-1.4000e+00   -7.8048e-02   1.7938e+01
-1.6000e+00   -8.8110e-02   1.8159e+01
-1.8000e+00   -9.5630e-02   1.8823e+01
-2.0000e+00   -9.9990e-02   2.0002e+01
-2.2000e+00   -9.9994e-02   2.2001e+01
-2.4000e+00   -9.9994e-02   2.4001e+01
-2.6000e+00   -1.0001e-01   2.5997e+01
-2.8000e+00   -9.9996e-02   2.8001e+01
-3.0000e+00   -9.9996e-02   3.0001e+01
-3.2000e+00   -9.9994e-02   3.2002e+01
-3.4000e+00   -1.0000e-01   3.3999e+01
-3.6000e+00   -9.9996e-02   3.6001e+01
-3.8000e+00   -9.9996e-02   3.8002e+01
-4.0000e+00   -9.9994e-02   4.0002e+01
-4.0000e+00   -9.9996e-02   4.0002e+01
-3.8000e+00   -9.9996e-02   3.8002e+01
-3.6000e+00   -9.9994e-02   3.6002e+01
-3.4000e+00   -9.9994e-02   3.4002e+01
-3.2000e+00   -9.9996e-02   3.2001e+01
-3.0000e+00   -9.9996e-02   3.0001e+01
-2.8000e+00   -9.9994e-02   2.8002e+01
-2.6000e+00   -9.9994e-02   2.6002e+01
-2.4000e+00   -9.9994e-02   2.4001e+01
-2.2000e+00   -9.9996e-02   2.2001e+01
-2.0000e+00   -9.9996e-02   2.0001e+01
-1.8000e+00   -9.2858e-02   1.9384e+01
-1.6000e+00   -8.2148e-02   1.9477e+01
-1.4000e+00   -7.1280e-02   1.9641e+01
-1.2000e+00   -5.9898e-02   2.0034e+01
-1.0000e+00   -4.8404e-02   2.0659e+01
-8.0000e-01   -3.7808e-02   2.1160e+01
-6.0000e-01   -2.8878e-02   2.0777e+01
-4.0000e-01   -1.9254e-02   2.0775e+01
-2.0000e-01   -9.6614e-03   2.0701e+01
0.0000e+00   1.4128e-05   0.0000e+00
0.0000e+00   -1.3590e-06   -0.0000e+00
2.0000e-01   9.9412e-03   2.0118e+01
4.0000e-01   2.0152e-02   1.9849e+01
6.0000e-01   3.0474e-02   1.9689e+01
8.0000e-01   4.1252e-02   1.9393e+01
1.0000e+00   5.1078e-02   1.9578e+01
1.2000e+00   6.4076e-02   1.8728e+01
1.4000e+00   7.8650e-02   1.7800e+01
1.6000e+00   9.1750e-02   1.7439e+01
1.8000e+00   1.0002e-01   1.7997e+01
2.0000e+00   1.0001e-01   1.9997e+01
2.2000e+00   1.0001e-01   2.1997e+01
2.4000e+00   1.0001e-01   2.3998e+01
2.6000e+00   1.0001e-01   2.5997e+01
2.8000e+00   1.0001e-01   2.7997e+01
3.0000e+00   1.0001e-01   2.9996e+01
3.2000e+00   1.0001e-01   3.1996e+01
3.4000e+00   1.0001e-01   3.3995e+01
3.6000e+00   1.0002e-01   3.5994e+01
3.8000e+00   1.0001e-01   3.7996e+01
4.0000e+00   1.0001e-01   3.9996e+01
4.0000e+00   1.0001e-01   3.9995e+01
3.8000e+00   1.0001e-01   3.7995e+01
3.6000e+00   1.0001e-01   3.5996e+01
3.4000e+00   1.0002e-01   3.3995e+01
3.2000e+00   1.0001e-01   3.1996e+01
3.0000e+00   1.0001e-01   2.9997e+01
2.8000e+00   1.0002e-01   2.7996e+01
2.6000e+00   1.0001e-01   2.5997e+01
2.4000e+00   1.0001e-01   2.3997e+01
2.2000e+00   1.0001e-01   2.1997e+01
2.0000e+00   1.0001e-01   1.9998e+01
1.8000e+00   1.0001e-01   1.7998e+01
1.6000e+00   9.6220e-02   1.6629e+01
1.4000e+00   8.6252e-02   1.6232e+01
1.2000e+00   7.4068e-02   1.6201e+01
1.0000e+00   6.1524e-02   1.6254e+01
8.0000e-01   4.8834e-02   1.6382e+01
6.0000e-01   3.6168e-02   1.6589e+01
4.0000e-01   2.3698e-02   1.6879e+01
2.0000e-01   1.1614e-02   1.7221e+01
0.0000e+00   1.1501e-05   0.0000e+00
