  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       738631.656019                    0

         MeasureMode                Bias1                Bias2
                   2                   -4                    4

                Step  Positive compliance  Negative compliance
                 0.2                  0.1                  0.1

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   4.5370e-07   0.0000e+00
-2.0000e-01   2.7450e-07   -7.2860e+05
-4.0000e-01   -3.4261e-06   1.1675e+05
-6.0000e-01   -1.4236e-04   4.2147e+03
-8.0000e-01   -4.7496e-04   1.6844e+03
-1.0000e+00   -8.6650e-04   1.1541e+03
-1.2000e+00   -1.2748e-03   9.4132e+02
-1.4000e+00   -1.6876e-03   8.2958e+02
-1.6000e+00   -2.1006e-03   7.6169e+02
-1.8000e+00   -2.5160e-03   7.1542e+02
-2.0000e+00   -2.9312e-03   6.8231e+02
-2.2000e+00   -3.3476e-03   6.5719e+02
-2.4000e+00   -3.7638e-03   6.3765e+02
-2.6000e+00   -4.1808e-03   6.2189e+02
-2.8000e+00   -4.5978e-03   6.0899e+02
-3.0000e+00   -5.0148e-03   5.9823e+02
-3.2000e+00   -5.4322e-03   5.8908e+02
-3.4000e+00   -5.8490e-03   5.8130e+02
-3.6000e+00   -6.2662e-03   5.7451e+02
-3.8000e+00   -6.6836e-03   5.6856e+02
-4.0000e+00   -7.1004e-03   5.6335e+02
-4.0000e+00   -7.1012e-03   5.6329e+02
-3.8000e+00   -6.6876e-03   5.6822e+02
-3.6000e+00   -6.2728e-03   5.7391e+02
-3.4000e+00   -5.8576e-03   5.8044e+02
-3.2000e+00   -5.4420e-03   5.8802e+02
-3.0000e+00   -5.0256e-03   5.9694e+02
-2.8000e+00   -4.6096e-03   6.0743e+02
-2.6000e+00   -4.1932e-03   6.2005e+02
-2.4000e+00   -3.7764e-03   6.3553e+02
-2.2000e+00   -3.3598e-03   6.5480e+02
-2.0000e+00   -2.9432e-03   6.7953e+02
-1.8000e+00   -2.5270e-03   7.1231e+02
-1.6000e+00   -2.1100e-03   7.5829e+02
-1.4000e+00   -1.6946e-03   8.2615e+02
-1.2000e+00   -1.2792e-03   9.3809e+02
-1.0000e+00   -8.6728e-04   1.1530e+03
-8.0000e-01   -4.7066e-04   1.6997e+03
-6.0000e-01   -1.3654e-04   4.3943e+03
-4.0000e-01   -3.0802e-06   1.2986e+05
-2.0000e-01   2.9070e-07   -6.8799e+05
0.0000e+00   4.7756e-07   0.0000e+00
0.0000e+00   4.5828e-07   0.0000e+00
2.0000e-01   5.6012e-07   3.5707e+05
4.0000e-01   6.3524e-07   6.2968e+05
6.0000e-01   6.9504e-07   8.6326e+05
8.0000e-01   7.4472e-07   1.0742e+06
1.0000e+00   7.8692e-07   1.2708e+06
1.2000e+00   8.2404e-07   1.4562e+06
1.4000e+00   8.5680e-07   1.6340e+06
1.6000e+00   8.8602e-07   1.8058e+06
1.8000e+00   9.1258e-07   1.9724e+06
2.0000e+00   9.3698e-07   2.1345e+06
2.2000e+00   9.5906e-07   2.2939e+06
2.4000e+00   9.7972e-07   2.4497e+06
2.6000e+00   9.9922e-07   2.6020e+06
2.8000e+00   1.0172e-06   2.7528e+06
3.0000e+00   1.0339e-06   2.9016e+06
3.2000e+00   1.0499e-06   3.0479e+06
3.4000e+00   1.0648e-06   3.1931e+06
3.6000e+00   1.0795e-06   3.3350e+06
3.8000e+00   1.0929e-06   3.4770e+06
4.0000e+00   1.1061e-06   3.6163e+06
4.0000e+00   1.1063e-06   3.6157e+06
3.8000e+00   1.0938e-06   3.4741e+06
3.6000e+00   1.0803e-06   3.3324e+06
3.4000e+00   1.0660e-06   3.1895e+06
3.2000e+00   1.0510e-06   3.0447e+06
3.0000e+00   1.0350e-06   2.8986e+06
2.8000e+00   1.0182e-06   2.7500e+06
2.6000e+00   1.0003e-06   2.5992e+06
2.4000e+00   9.7972e-07   2.4497e+06
2.2000e+00   9.5988e-07   2.2920e+06
2.0000e+00   9.3770e-07   2.1329e+06
1.8000e+00   9.1336e-07   1.9707e+06
1.6000e+00   8.8680e-07   1.8042e+06
1.4000e+00   8.5756e-07   1.6325e+06
1.2000e+00   8.2492e-07   1.4547e+06
1.0000e+00   7.8784e-07   1.2693e+06
8.0000e-01   7.4558e-07   1.0730e+06
6.0000e-01   6.9622e-07   8.6180e+05
4.0000e-01   6.3626e-07   6.2867e+05
2.0000e-01   5.6116e-07   3.5640e+05
0.0000e+00   4.5884e-07   0.0000e+00
