  Measurement Number     Measurement type
                   2                DC IV

      Measurement ID             SeriesID
       738631.657438                    0

         MeasureMode                Bias1                Bias2
                   2                   -4                    4

                Step  Positive compliance  Negative compliance
                 0.2                  0.1                  0.1

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   4.5544e-07   0.0000e+00
-2.0000e-01   2.7602e-07   -7.2459e+05
-4.0000e-01   -3.2275e-06   1.2393e+05
-6.0000e-01   -1.3900e-04   4.3165e+03
-8.0000e-01   -4.7212e-04   1.6945e+03
-1.0000e+00   -8.6588e-04   1.1549e+03
-1.2000e+00   -1.2756e-03   9.4073e+02
-1.4000e+00   -1.6888e-03   8.2899e+02
-1.6000e+00   -2.1030e-03   7.6082e+02
-1.8000e+00   -2.5184e-03   7.1474e+02
-2.0000e+00   -2.9334e-03   6.8180e+02
-2.2000e+00   -3.3492e-03   6.5687e+02
-2.4000e+00   -3.7650e-03   6.3745e+02
-2.6000e+00   -4.1814e-03   6.2180e+02
-2.8000e+00   -4.5976e-03   6.0901e+02
-3.0000e+00   -5.0138e-03   5.9835e+02
-3.2000e+00   -5.4304e-03   5.8928e+02
-3.4000e+00   -5.8460e-03   5.8159e+02
-3.6000e+00   -6.2620e-03   5.7490e+02
-3.8000e+00   -6.6780e-03   5.6903e+02
-4.0000e+00   -7.0936e-03   5.6389e+02
-4.0000e+00   -7.0942e-03   5.6384e+02
-3.8000e+00   -6.6804e-03   5.6883e+02
-3.6000e+00   -6.2660e-03   5.7453e+02
-3.4000e+00   -5.8510e-03   5.8110e+02
-3.2000e+00   -5.4358e-03   5.8869e+02
-3.0000e+00   -5.0200e-03   5.9761e+02
-2.8000e+00   -4.6042e-03   6.0814e+02
-2.6000e+00   -4.1884e-03   6.2076e+02
-2.4000e+00   -3.7718e-03   6.3630e+02
-2.2000e+00   -3.3558e-03   6.5558e+02
-2.0000e+00   -2.9400e-03   6.8027e+02
-1.8000e+00   -2.5242e-03   7.1310e+02
-1.6000e+00   -2.1078e-03   7.5909e+02
-1.4000e+00   -1.6924e-03   8.2723e+02
-1.2000e+00   -1.2780e-03   9.3897e+02
-1.0000e+00   -8.6636e-04   1.1543e+03
-8.0000e-01   -4.7018e-04   1.7015e+03
-6.0000e-01   -1.3626e-04   4.4033e+03
-4.0000e-01   -3.0684e-06   1.3036e+05
-2.0000e-01   2.9110e-07   -6.8705e+05
0.0000e+00   4.7858e-07   0.0000e+00
0.0000e+00   4.5980e-07   0.0000e+00
2.0000e-01   5.6182e-07   3.5599e+05
4.0000e-01   6.3756e-07   6.2739e+05
6.0000e-01   6.9760e-07   8.6009e+05
8.0000e-01   7.4698e-07   1.0710e+06
1.0000e+00   7.8974e-07   1.2662e+06
1.2000e+00   8.2688e-07   1.4512e+06
1.4000e+00   8.5970e-07   1.6285e+06
1.6000e+00   8.8912e-07   1.7995e+06
1.8000e+00   9.1592e-07   1.9652e+06
2.0000e+00   9.4030e-07   2.1270e+06
2.2000e+00   9.6254e-07   2.2856e+06
2.4000e+00   9.8348e-07   2.4403e+06
2.6000e+00   1.0027e-06   2.5931e+06
2.8000e+00   1.0209e-06   2.7426e+06
3.0000e+00   1.0378e-06   2.8907e+06
3.2000e+00   1.0538e-06   3.0367e+06
3.4000e+00   1.0690e-06   3.1805e+06
3.6000e+00   1.0833e-06   3.3233e+06
3.8000e+00   1.0973e-06   3.4630e+06
4.0000e+00   1.1096e-06   3.6049e+06
4.0000e+00   1.1101e-06   3.6033e+06
3.8000e+00   1.0976e-06   3.4621e+06
3.6000e+00   1.0841e-06   3.3207e+06
3.4000e+00   1.0699e-06   3.1779e+06
3.2000e+00   1.0548e-06   3.0338e+06
3.0000e+00   1.0389e-06   2.8877e+06
2.8000e+00   1.0218e-06   2.7403e+06
2.6000e+00   1.0035e-06   2.5909e+06
2.4000e+00   9.8322e-07   2.4410e+06
2.2000e+00   9.6292e-07   2.2847e+06
2.0000e+00   9.4076e-07   2.1259e+06
1.8000e+00   9.1638e-07   1.9643e+06
1.6000e+00   8.8986e-07   1.7980e+06
1.4000e+00   8.6038e-07   1.6272e+06
1.2000e+00   8.2762e-07   1.4499e+06
1.0000e+00   7.9030e-07   1.2653e+06
8.0000e-01   7.4794e-07   1.0696e+06
6.0000e-01   6.9830e-07   8.5923e+05
4.0000e-01   6.3814e-07   6.2682e+05
2.0000e-01   5.6278e-07   3.5538e+05
0.0000e+00   4.6012e-07   0.0000e+00
