U,I
0,0
1.283,0
1.636,1.44
1.734,3.65
1.874,11.36
1.995,23.22
2.104,34.04
2.187,39.4
2.245,41.08
2.344,42.14
2.47,40.84
2.575,38.45
2.768,34.05
2.924,31.11
2.943,31.3
3.584,24.91
3.979,23.18
4.455,21.68
5.019,20.27
5.485,19.29
5.999,18.72
6.551,18.37
7.061,18.19
7.506,18.18
8.057,18.56
8.559,19.49
9.08,20.28
9.699,20.64
10.273,22.1
11,27.3
