I,W0,f,x
1.1,6.6,24,1.13989637305699
1.2,7.2,29.87,1.24352331606218
1.3,7.8,32.91,1.34715025906736
1.4,8.4,38.27,1.45077720207254
1.5,9,40.51,1.55440414507772
1.6,9.6,40.62,1.6580310880829
1.7,10.2,41.02,1.76165803108808
1.8,10.8,45.24,1.86528497409326
1.9,11.4,47.83,1.96891191709845
2,12,50,2.07253886010363
