f,a
1.69897000433602,86.5839
2,80.7304
2.30102999566398,75.0271
2.69897000433602,67.1217
3,61.1373
3.30102999566398,54.9998
3.69897000433602,47.122
4,41.1941
4.30102999566398,35.3541
4.69897000433602,27.6513
