a,f,f_log
46.3196002748178,50,1.69897000433602
46.760098128167,100,2
46.7630217328384,200,2.30102999566398
46.8954680188496,500,2.69897000433602
46.5960347646801,1000,3
46.0876080730979,2000,3.30102999566398
43.7198877823932,5000,3.69897000433602
39.7940659907807,10000,4
34.5918125654394,20000,4.30102999566398
26.8988669105257,50000,4.69897000433602
