f,u_in,u_out,k,db
5,306,2577,8.42156862745098,18.5078598413865
10,305,2465,8.08196721311476,18.1503416853293
100,323,522,1.61609907120743,4.16935961342319
1000,319,57.9,0.181504702194357,-14.8222423865949
10000,317,6.1,0.0192429022082019,-34.3145885441397
100000,317,2.7,0.00851735015772871,-41.3939099611753
